,tanggal,pengguna,tweet,stemming & clean text,sentiment
0,2022-07-02 23:59:56,Irafaizal,Malu aing,malu aing,Netral
1,2022-07-02 23:59:56,AntiCukong,Opposite dumdum ekokuntadhi sadarlah wahai rakyat Indonesia,opposite dumdum ekokuntadhi sadar wahai rakyat indonesia,Netral
2,2022-07-02 23:59:37,AdamPeople07,Prestasi menurut mereka adalah pembangunan infrastruktur Dan yg paling nyata adlh jalan Tol Setau sya jalan tol itu tdk bisa dinikmati oleh semua lapisan masyarakat Karena setau sya lagi yg namanya infrastruktur itu yg bisa dinikmati semua orang Jadi bagaimana,prestasi turut mereka adalah bangun infrastruktur dan yg paling nyata adlh jalan tol tau sya jalan tol itu tdk bisa nikmat oleh semua lapis masyarakat karena tau sya lagi yg nama infrastruktur itu yg bisa nikmat semua orang jadi bagaimana,Netral
3,2022-07-02 23:59:37,SssPegasus,Luar biasa sikap pak jokowi saluuut,luar biasa sikap pak jokowi saluuut,Netral
4,2022-07-02 23:59:37,Jkt_Networks,Wijaya008 Rass Salman7 aa misro TN1 20 Gpp suhu Pagiy SambungRetweeT TheLegends SobatNKRI Bersama Jokowi SobatNKRI e wee 14ku,wijaya008 rass salman7 aa misro tn1 20 gpp suhu pagiy sambungretweet thelegends sobatnkri sama jokowi sobatnkri e wee 14ku,Netral
5,2022-07-02 23:59:31,d3vilicious,E Berharap dan berusaha Misalnya Pakde lebih keras dikit sama Putin bilang kao ndak hentikan invasi Indonesia akan ikut kasih sangsi Putin itu dajjal gak bisa dibaikin Saya tidak rela kebaikan hati Pakde dimanfaatkan dan dianggap lemah oleh Putin,e harap dan usaha misal pakde lebih keras dikit sama putin bilang kao ndak henti invasi indonesia akan ikut kasih sangsi putin itu dajjal gak bisa dibaikin saya tidak rela baik hati pakde manfaat dan anggap lemah oleh putin,Netral
6,2022-07-02 23:59:29,song_lullaby,dirs dumdum Pranksiden ruwetnesia,dirs dumdum pranksiden ruwetnesia,Netral
7,2022-07-02 23:59:21,cariviralcom,Misi Jokowi Tak Gagal Meski Rusia Masih Serang Ukraina,misi jokowi tak gagal meski rusia masih serang ukraina,Netral
8,2022-07-02 23:59:13,Purham6,didu Saya juga percaya jokowi eh tapi boong,didu saya juga percaya jokowi eh tapi boong,Netral
9,2022-07-02 23:59:09,Doglo_46,wijayanto Sapa pun pemimpinya pasti ada kekurangany tapi kalau anda bilang di era jokowi tidak ada hasilnya maka anda pura2 tidak tau,wijayanto sapa pun mimpi pasti ada kekurangany tapi kalau anda bilang di era jokowi tidak ada hasil maka anda pura2 tidak tau,Netral
10,2022-07-02 23:59:04,abedzgazvolga,Saffira Polri Memang penulisan untuk tanah itu sertipikat sudah punya belum Dilihat lagi deh sertipikatnya,saffira polri memang tulis untuk tanah itu sertipikat sudah punya belum lihat lagi deh sertipikatnya,Netral
11,2022-07-02 23:58:51,BiruLan63443319,Mo tanya min ini benar gak,mo tanya min ini benar gak,Netral
12,2022-07-02 23:58:32,Alvaro_Wartono,cyber Saat bertemu Jokowi ekspresi Zelensky dan Putin sangat berbeda sekali Nampak Putin lebih bersahabat sedangkan Zelensky seperti gondok gitu,cyber saat temu jokowi ekspresi zelensky dan putin sangat beda sekali nampak putin lebih sahabat sedang zelensky seperti gondok gitu,Netral
